id,type,x,y,z
VD5,"Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor",-0.75,-68.3,-66.75
I1R,"Pharyngeal interneurons: ant sensory, input from RIP",-7.1500006,-300.35,53.149998
OLLR,Lateral outer labial neurons,-8.65,-283.9,50.024998
AVHL,"Neuron, mainly postsynaptic in ventral cord and presynaptic in the ring",4.1499996,-264.4,45.0
ALNL,Neuron associated with ALM,0.32500002,406.69998,12.375
RIH,Ring interneuron,-2.0,-267.35,35.95
AVL,Ring and ventral cord interneuron and an excitatory GABAergic motor neuron for rectal muscles. Few synapses,-7.5000005,-263.45,36.35
VA6,"Ventral cord motor neuron, innervates vent. body muscles",-1.85,21.55,-41.15
IL1DL,Inner labial neuron,2.825,-282.763,52.762997
DB3,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor",-1.85,-195.275,-18.525
RMGL,Ring interneuron,8.25,-238.29999,32.7
DVA,"Ring interneurons, cell bodies in dorsorectal ganglion",-2.345,394.6,3.678
PVPR,"Interneuron, cell body in preanal ganglion, projects along ventral cord to nerve ring",-0.15,356.55,-16.65
IL2R,Inner labial neuron,-11.0,-285.0,49.35
PLML,"Posterior lateral microtubule cells, touch receptor neurons",2.5,410.15,8.175
ASIL,"Amphid neurons, single ciliated endings",2.6499999,-263.7,46.875
SMBDL,"Ring motor neuron/interneuron, has a posteriorly directed process that runs sublaterally",3.1,-264.3,33.1
HSNR,"Hermaphrodite specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic",-21.65,61.05,6.95
ASHL,"Amphid neurons, single ciliated endings",5.55,-265.625,41.0
ADFR,Amphid neuron,-8.0,-267.9,41.600002
DA7,"Ventral cord motor neurons, innervate dorsal muscles",-1.65,281.6,-24.95
RIAL,"Ring interneuron, many synapses",4.0,-270.25,45.0
AIAR,Amphid interneuron,-5.1,-264.15,35.550003
RMHL,Ring motor neuron/interneuron,1.1,-265.9,35.7
AS2,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",-1.8750001,-203.875,-12.725
I3,"Pharyngeal interneuron, ant sensory",-2.05,-296.55002,58.25
CANL,"Process runs along excretory canal, no synapses, essential for survival",25.350002,47.95,1.65
VA3,"Ventral cord motor neuron, innervates vent. body muscles",-1.475,-184.09999,-26.374998
BDUR,"Neuron, process runs along excretory canal and into ring, unique darkly staining synaptic vesicles",-19.65,-187.15,-0.2
AUAR,"Neuron, process runs with amphid processes but lacks ciliated ending",-8.8,-263.975,37.475
OLQVR,Quadrant outer labial neuron,-8.474999,-279.25,43.925
RMDVR,"Ring motor neuron/interneuron, many synapses",-9.049999,-271.19998,44.4
VD2,"Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor",-0.65000004,-226.04999,2.35
PVCL,"Ventral cord interneuron, cell body in lumbar ganglion, synapses onto VB and DB motor neurons, formerly called delta",0.85,404.15002,5.5
URADR,Ring motor neuron,-9.3,-284.65,52.2
M2L,Pharyngeal motorneurons,3.7,-254.34999,38.65
AINR,Ring interneuron,-3.067,-269.542,39.357998
DVC,"Ring interneurons, cell bodies in dorsorectal ganglion",-0.116,395.43298,5.992
AS9,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",-1.8750001,228.92499,-14.5
OLQVL,Quadrant outer labial neuron,4.2,-279.25,43.925
MI,Pharyngeal motor neuron/interneuron,-2.1539998,-293.51202,56.707
IL2L,Inner labial neuron,6.7500005,-285.0,49.35
VD1,"Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor",-0.70000005,-228.6,4.05
AS8,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",-1.9,181.85,-1.7750001
ASGR,"Amphid neurons, single ciliated endings",-8.0,-265.35,45.425
VA2,"Ventral cord motor neuron, innervates vent. body muscles",-1.85,-217.1,-3.9500003
ASER,"Amphid neurons, single ciliated endings",-8.375,-263.675,40.05
AVBR,Ventral cord interneuron,-4.581,-269.794,37.863003
SIBVR,Similar to SIA,-2.767,-269.867,35.408
RMER,Ring motor neuron,-8.900001,-274.4,46.987
VB6,"Ventral cord motor neuron, innervates vent. body muscles",-1.85,-36.575,-62.699997
FLPR,"Neuron, ciliated ending in head, no supporting cells, associated with ILso",-15.05,-246.3,31.05
IL2DL,Inner labial neuron,7.1000004,-287.47498,57.125004
PDA,"Motor neuron, process in dorsal cord, same as Y cell in hermaphrodite, Y.a in male",-2.95,387.25,-5.5
ASGL,"Amphid neurons, single ciliated endings",3.7,-265.35,45.425
SAADR,"Ring interneuron, anteriorly projecting process that runs sublaterally",0.531,-270.169,42.131
ADFL,Amphid neuron,3.7250001,-267.9,41.600002
RIMR,Ring motor neuron,-7.75,-260.9,39.0
AVDL,Ventral cord interneuron,-0.167,-268.7,37.3
RIR,Ring interneuron,-11.599999,-265.9,36.649998
RMGR,Ring interneuron,-12.5,-238.29999,32.7
AVFL,Interneuron,2.1,-246.4,18.6
VC5,Hermaphrodite specific ventral cord motor neuron innervates vulval muscles and ventral body muscles,-1.15,66.549995,-12.5
IL1DR,Inner labial neuron,-7.0620003,-282.763,52.762997
DA1,"Ventral cord motor neurons, innervate dorsal muscles",-0.75,-227.07501,3.425
VB9,"Ventral cord motor neuron, innervates vent. body muscles",-1.85,159.55,3.2
DA5,"Ventral cord motor neurons, innervate dorsal muscles",-1.65,84.2,-3.15
RMEV,Ring motor neuron,-2.033,-272.967,35.667
MCL,Pharyngeal neurons that synapse onto marginal cells,3.2,-296.15,52.3
SMDDR,"Ring motor neuron/interneuron, has a posteriorly directed process that runs sublaterally",-7.4500003,-266.25,34.1
VA11,"Ventral cord motor neuron, innervates vent. body muscles",-1.55,312.35,-26.249998
ALML,Anterior lateral microtubule cell,22.675,-60.75,-37.149998
ADEL,"Anterior deirid, sensory neuron",11.0,-242.375,32.45
SIAVR,"Receive a few synapses in the ring, have posteriorly directed processes that run sublaterally",-10.2,-259.80002,32.25
VD3,"Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor",-0.8,-188.1,-23.45
VD11,"Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor",-0.8,283.80002,-24.8
VB10,"Ventral cord motor neuron, innervates vent. body muscles",-1.85,218.07498,-11.4
IL1L,Inner labial neuron,3.8,-282.67502,47.850002
VD12,"Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor",-0.75,345.5,-23.15
URXR,Ring interneuron,-7.35,-269.875,48.275
RIBL,Ring interneuron,5.5,-264.35,38.0
AVJR,"Neuron, synapses like AVHL/R",-4.75,-264.9,47.55
LUAL,"Interneuron, short process in post ventral cord",1.35,403.80002,4.1
VA10,"Ventral cord motor neuron, innervates vent. body muscles",-1.85,254.62502,-21.25
M4,Pharyngeal motorneuron,-2.033,-288.93298,57.583
CEPVR,"Cephalic neurons, contain dopamine",-4.95,-277.125,39.925
DA4,"Ventral cord motor neurons, innervate dorsal muscles",-1.7,-32.4,-61.75
SMBVL,"Ring motor neuron/interneuron, has a posteriorly directed process that runs sublaterally",0.425,-263.45,33.05
AVAR,Ventral cord interneuron,-3.5,-271.5,37.983
AIZL,Amphid interneuron,5.6000004,-258.75,37.45
AWCR,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath",-8.1,-267.95,38.95
PVNR,"Interneuron/motor neuron, post. vent. cord, few synapses",-3.25,409.95,8.900001
ASIR,"Amphid neurons, single ciliated endings",-6.8999996,-263.7,46.875
URYVL,"Neuron, presynaptic in ring, ending in head",3.4,-280.92502,45.35
RIML,Ring motor neuron,3.5,-260.9,39.0
PHAR,"Phasmid neurons, chemosensory",-3.8,402.9,4.1
PHCL,"Neuron, striated rootlet in male, possibly sensory in tail spike",0.75,408.775,7.275
ADAL,Ring interneuron,8.65,-239.25,31.05
SMBVR,"Ring motor neuron/interneuron, has a posteriorly directed process that runs sublaterally",-4.6,-263.45,33.05
CEPDR,"Cephalic neurons, contain dopamine",-5.625,-275.02502,54.075005
PVR,"Interneuron, projects along ventral cord to ring",-1.85,407.35,7.7
PDB,"Motor neuron, process in dorsal cord, cell body in pre-anal ganglion",-3.3,384.65,-7.75
RMDR,"Ring motor neuron/interneuron, many synapses",-7.4,-271.0,41.2
RID,"Ring interneuron, projects along dorsal cord",-1.225,-272.35,54.938
SDQR,"Ant. lateral interneuron, process projects into ring",-14.200001,-131.75,-10.55
ASEL,"Amphid neurons, single ciliated endings",4.125,-263.675,40.05
DD1,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1",-0.9,-231.95,6.85
CANR,"Process runs along excretory canal, no synapses, essential for survival",-27.25,47.95,1.65
DB7,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor",-1.85,267.75,-22.625
ADLL,Amphid neuron,2.7,-265.75,47.55
SMDVR,"Ring motor neuron/interneuron, has a posteriorly directed process that runs sublaterally",-8.900001,-270.95,46.65
DVB,An excitatory GABAergic motor neuron/interneuron located in dorso-rectal ganglion. Innervates rectal muscles,-0.75,394.5,4.0
VD10,"Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor",-0.75,236.1,-16.5
VD4,"Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor",-0.8,-137.2,-52.7
ASKL,"Amphid neurons, single ciliated endings",3.7,-268.025,46.399998
RIS,Ring interneuron,-4.8250003,-262.163,33.638
AINL,Ring interneuron,-1.4499999,-269.542,39.357998
DB1,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor (aka DB1/3)",-1.9,-230.34999,6.85
HSNL,"Hermaphrodite specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic",17.45,61.05,6.95
VB11,"Ventral cord motor neuron, innervates vent. body muscles",-1.8249999,262.325,-21.95
AIYR,Amphid interneuron,-11.7,-252.50002,28.95
VA7,"Ventral cord motor neuron, innervates vent. body muscles",-1.85,98.049995,1.175
URYVR,"Neuron, presynaptic in ring, ending in head",-7.7,-280.92502,45.35
URBL,"Neuron, presynaptic in ring, ending in head",5.05,-279.95,47.55
DB4,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor",-1.8750001,-96.275,-64.65
ADLR,Amphid neuron,-6.95,-265.75,47.55
VB5,"Ventral cord motor neuron, innervates vent. body muscles",-1.85,-109.55,-62.15
AIYL,Amphid interneuron,7.4500003,-252.50002,28.95
